MKSA - LOG
Una linea por hito. Formato: YYYY-MM-DD HH:MM | etapa | que se hizo
2026-06-27 | F4 wcg.refs warmup | InProcess.warmRefsIndexAsync(): daemon idempotente que polea wcgRefs("minecraft", false) cada 5s hasta OK, max 360 intentos (~30 min). Hookeado desde Agent.stage("game-ready") con try/catch (jamas falla la emision por warm-up). Cero cambios al transformer, al ledger, ni al bridge — lado-agente puro
2026-06-27 | F4 wcg.refs warmup | ledger.stats expandido (aditivo): refsWarmupStarted/Ready/Attempts/Ms/Error. Suficiente para que verify-fase1 asierte que el warm-up se dispara, completa, y la 1a query real subsiguiente sale instant (index.reused=true). build.sh OK (checks pasan, ningun jar suelto)
2026-06-28 | T1 in-process restore-file | BUG RAIZ restauracion de bloques: RestoreWriter abria con new FileOutputStream(f) (truncado) y el disable escribe el MISMO archivo .mksar en 3 pasos (block sweep -> itemSweep -> containerSweep); cada sweep truncaba al anterior, sobrevivian solo los ultimos records y los bloques (primeros) se perdian siempre. Items/cofres se salvaban por su cache en memoria (memSize); bloques sin cache -> captured=0 'B' en enable. FIX: RestoreWriter modo append-sin-header; arm() (block sweep, 1o) trunca+cabecera, newRestoreWriter() (item/container) AÑADE. Un solo header, records B->I->C en orden que readRestore ya parsea. Ledger.java
2026-06-28 | UI mod-thin (doc) | DOCUMENTADO estado real de la cara para el jugador (proyecto.md §3.29): mod cliente Fabric (responde pregunta abierta: se inyecta como mod del loader). PauseScreenHook inyecta boton dogito en el menu de pausa junto a "Open to LAN"; abre ModsScreen. ModsScreen: listado de mods de mods/ con icono 32x32 (ModIconCache + placeholder), nombre+version+descripcion, chip ON/OFF, chips tier T0-T3 (toggle off por defecto), busqueda, scroll (botones+rueda+scrollbar arrastrable), seleccion enfocada, switch Desactivar/Restaurar funcional gateado por estado -> BridgeProxy.disable/enable (ciclo Tier 1). NO pintado aun: preview de cascada wcg.refs + vista deps dos capas
2026-06-28 | T1 in-process restore-file | FIX regresion itemSweep: ambos campos del player leian size=99 -> mContainerGetSize ataba el 1er no-arg int de Container (getContainerSize Y getMaxStackSize=99 ambos lo son), orden de getMethods() no determinista. Patron §3.18: recolectar candidatos y desambiguar POR COMPORTAMIENTO (el correcto da valores distintos en inventario vs enderchest; getMaxStackSize da 99 en ambos). InProcess.disambiguateContainerSize. Tambien t1log en txStepSweep/txStepRestitution (antes block sweep invisible). VERIFICADO por usuario: ciclo disable->enable restaura bloques+items+cofres
2026-07-01 06:53 | F4 wcg.refs SQLite | Primer corte index.db: RefsSqliteStore opcional por JDBC para persistir refs_edges + refs_tag_members por epoch en <instancia>/mksa/index.db. wcg.refs carga SQLite si hay driver, si no reconstruye en memoria como antes. Diag nuevo en wcg.refs.index/ledger.stats: source, sqliteDriver, hit, rows, path, error. Compilacion Java OK; falta empaquetar sqlite-jdbc para activar ruta real.
2026-07-01 08:50 | F4 wcg.refs SQLite | VERIFICADO OK (--wcg-refs-sqlite, Instancia 3 Fabric 1.21.11): test sin interaccion manual dentro del juego. 1er proceso force rebuild -> source=rebuild sqliteDriver=true sqliteHit=false sqliteSavedRows=23112, crea <instancia>/mksa/index.db. 2o proceso fresco -> source=sqlite sqliteHit=true sqliteLoadedRows=23112. Prueba clave: dos JVM separadas descartan reuse en memoria; el 2o arranque demuestra persistencia real por epoch.
2026-07-01 08:50 | F4 wcg.refs SQLite | BUG encontrado por el smoke: installSqlite registraba org.sqlite.JDBC via DriverShim, pero RefsSqliteStore.ensureDriver hacia Class.forName("org.sqlite.JDBC") desde el CL del agente -> false negativo sqliteDriver=false aunque DriverManager podia usar el shim. FIX: ensureDriver valida DriverManager.getDriver("jdbc:sqlite:") y reporta error con mensaje. Jar reempaquetado con sqlite-jdbc.jar anidado.
2026-07-01 08:50 | F4 wcg.refs SQLite | DEUDA harness: 1er cierre quedo en "Saving World" y escalo taskkill /F tras 60s; 2o cierre limpio. El test valida SQLite porque index.db ya estaba committeado antes del cierre, pero el harness debe cerrar mas tarde/mas limpio (o esperar reposo) para no introducir ruido de corrupcion. El mundo no requiere accion del usuario: game-ready + quickplay bastan; wcg.refs polea NOT_READY hasta servidor integrado vivo.
2026-07-01 10:05 | T2 runtime plane corte 1 | Implementado Plano B observable para Fabric Event.register: LedgerTransformer instrumenta Event/ArrayBackedEvent register(T) y register(Identifier,T), Bridge.runtimeSubscribe -> Ledger.onRuntimeSubscribe retiene refs vivas en memoria y agrupa por api+owner, IPC runtime.refs + contadores ledger.stats, verifier --tier2-1 agregado.
2026-07-01 10:05 | T2 runtime plane corte 1 | FIX de hook antes de cerrar: Fabric Event.register tiene overload register(Identifier,T); el listener NO siempre vive en slot 1. FabricEventVisitor calcula listenerSlot como ultimo argumento objeto. Verificado con javap sobre META-INF/jars/fabric-api-base-1.0.5+4ebb5c083e.jar: Event y ArrayBackedEvent exponen register(Object) y register(class_2960,Object).
2026-07-01 10:05 | T2 runtime plane corte 1 | VERIFICACION ESTATICA OK: build nativo PowerShell (bash falla porque no hay distro WSL) recompilo fable-agent.jar/mksa-ledger.jar/mksa-bridge.jar; checks estrictos OK: ledger+bridge+sqlite anidados, ASM solo dentro de mksa-ledger.jar, FabricEvent visitors empaquetados. cargo check --bin verify-fase1 OK (4 warnings existentes de id unused).
2026-07-01 10:05 | T2 runtime plane corte 1 | BLOQUEO RUNTIME AMBIENTAL: cargo run --bin verify-fase1 -- --tier2-1 no llega a lanzar Minecraft; meta::resolve aborta porque falta assets/indexes/29.json ("abre la instancia una vez en Prism"). No hay 29.json en rutas locales accesibles de MKSA/Prism. Siguiente: descargar/crear assets con Prism o añadir fallback de assets al launcher y re-ejecutar --tier2-1.
2026-07-01 10:18 | T2 runtime plane corte 1 | CORRECCION del diagnostico de assets: el bloqueo de 29.json era del sandbox Codex/API leyendo AppData, no de la instalacion. Re-ejecutado con permisos fuera del sandbox: cargo run --bin verify-fase1 -- --tier2-1 lanza MC, hookea Event.register/Object y Event.register(class_2960,Object), runtime.refs valida calls/attributed/buckets/refsKept y termina VERIFICACION OK.
2026-07-01 10:18 | T2 runtime plane corte 1 | DEUDA harness/operativa: si un agente vuelve a ver "No se encontro el indice de assets 29" desde Codex, NO pedir al usuario abrir Prism por defecto; rerun con require_escalated para que el proceso pueda leer AppData/Prism igual que el launch normal. La prueba runtime ademas cerro con watchdog y taskkill /F tras 60s; no invalida T2, pero conviene mejorar cierre/reposo del harness.
2026-07-01 10:39 | T2 runtime plane corte 1 | CONFIRMADO por el usuario en entorno normal: --tier2-1 -> game-ready, runtime.refs calls=519 attributed=162 buckets=2 refsKept=418; buckets fabric-event: artifacts=162 (sample ArtifactHooksFabric lambda) y minecraft=357. ledger.stats coincide (calls=519 attributed=162). VEREDICTO OK; unica deuda observada: cierre WM_CLOSE no termina en 60s y escala taskkill /F.
2026-07-01 11:17 | T2 runtime plane corte 2 | Implementado runtime.disable/runtime.restore para Fabric Event.register por owner. Captura ahora solo ArrayBackedEvent.register(Identifier,listener) (evita doble conteo del wrapper register(listener)) y guarda event+phase+listener; disable remueve por identidad de EventPhaseData.listeners y rebuildInvoker(total); restore re-registra en la misma phase con captura suprimida.
2026-07-01 11:17 | T2 runtime plane corte 2 | FIXES del smoke: runtime.refs(ns) ahora reporta refsKept/activeRefs filtrados por ns (antes root global confundia asserts); restore usa getDeclaredMethod+setAccessible porque ArrayBackedEvent es package-private aunque register sea public. ledger.stats gana runtimeDisabledRefs.
2026-07-01 11:17 | T2 runtime plane corte 2 | VERIFICADO OK (--tier2-2, Instancia 3 Fabric 1.21.11, owner artifacts): before refsKept=91 activeRefs=91; runtime.disable removed=91 errors=0 activeRefs=0; ledger.stats runtimeDisabledRefs=91; runtime.restore restored=91 errors=0 activeRefs=91; runtimeDisabledRefs vuelve a 0; VERIFICACION OK. Deuda: cierre WM_CLOSE sigue escalando taskkill /F tras 60s.
2026-07-01 11:53 | Vision futura | Registrado en proyecto.md 3.30: desactivar tiene dos metas distintas, ausencia percibida para el jugador y ausencia real para el motor. Momento 1 = relaunch/dos JVM, Momento 2 = hot disable/restore actual, Momento 3 = Minecraft tambien deja de pagar coste runtime y MKSA mide costo residual por mod. Politica futura: auto/ask/blocked; preguntar en casos persistentes/profundos (biomas, dimensiones, worldgen, entidades, inventarios, bloques). En server, autoridad solo owner/admin/mods autorizados y transacciones serializadas; posible uso intermedio: mundos con modsets efectivos distintos.
2026-07-02 02:06 | T2 runtime plane corte 3-A | Segunda superficie runtime: Fabric networking global receivers. LedgerTransformer instrumenta GlobalReceiverRegistry.registerGlobalReceiver(Identifier, handler) y captura solo retornos true como api=fabric-networking-global con (registry, channelId, handler). runtime.disable valida getHandler(channel)==handler y llama unregisterGlobalReceiver; runtime.restore re-registra con captura suprimida.
2026-07-02 02:06 | T2 runtime plane corte 3-A | VERIFICADO OK (--tier2-3, Instancia 3 Fabric 1.21.11): el smoke elige owner con bucket fabric-networking-global, disable quita receivers (removed>0, errors=0, activeRefs=0) y restore los devuelve (restored==removed, errors=0, activeRefs inicial). Primer intento sandbox fallo por assets 29; rerun con require_escalated correcto por AppData/Prism. Deuda: cierre sigue generando Client shutdown watchdog en glfwSwapBuffers y escala taskkill /F; no invalida el hook.
2026-07-02 03:49 | T2 runtime plane corte 3-B | Implementado hook para Fabric networking per-connection: LedgerTransformer instrumenta AbstractNetworkAddon.registerChannel(Identifier, handler) y captura solo IRETURN true como api=fabric-networking-connection con (addon vivo, channelId, handler). runtime.disable valida getHandler(channel)==handler y llama unregisterChannel; runtime.restore llama registerChannel con captura suprimida.
2026-07-02 03:49 | T2 runtime plane corte 3-B | VERIFICADO/DIAGNOSTICADO OK (--tier2-3b, Instancia 3 Fabric 1.21.11): el hook se instala en runtime ("FabricNetworkAddonRegisterHook" sobre AbstractNetworkAddon), pero el pack de prueba no registra receivers por conexion durante el smoke; byApi solo muestra fabric-event=270 y fabric-networking-global=61. El modo --tier2-3b cierra como diagnostico no destructivo, no como fallo. Segundo run agrego quiesce antes de cerrar y termino con cierre WM_CLOSE limpio (sin crash report nuevo).
2026-07-02 03:58 | T2 corte 4 politica estado vivo | CERRADO como contrato documental en proyecto.md §3.31. Politica base: solo `auto` si MKSA puede quitar, guardar restore y restaurar localmente sin inventar estado; `ask` para tradeoffs/cascada/conflictos; `blocked` si no hay transicion correcta; `requires_restart` si solo relaunch/hot-relaunch es correcto.
2026-07-02 03:58 | T2 corte 4 politica estado vivo | Matriz fijada por superficie: recetas/tags/loot propios auto salvo cascada; runtime refs soportadas auto con validacion de identidad; bloques Tier1 auto con restore sin pisar cambios; block entities/items/contenedores auto solo donde capturador+restore estan cubiertos, conflictos a quarantine/reporte; entidades vivas, efectos, saved data profundo y worldgen quedan ask/blocked/requires_restart por defecto. Corte 5 debe producir DisablePlan/receipt con decision, covered/residual surfaces, ask/blocked reasons, restorePath y rollbackAvailable.
2026-07-02 04:06 | T2 corte 4 ajuste entidades | Correccion de politica por feedback del usuario: entidades modded no deben quedar "blocked" solo por existir. Disable puede despawnearlas como haria un comando vanilla por selector, guardando snapshot minimo (tipo, dimension, posicion, rotacion, UUID/nombre y NBT si existe). Lo delicado es prometer restore exacto: entidades simples pueden llegar a auto con capturador probado; bosses/vehiculos/pasajeros/inventarios/estado externo quedan ask o requires_restart, recordando posicion/dimension como minimo.
2026-07-02 04:14 | T2 corte 4 ajuste worldgen | Correccion de politica por feedback del usuario: requires_restart existe pero debe ser ultimo recurso, no salida normal del proyecto. Para worldgen la politica es hot-first: si no hay huella visible persistente, dejar el mundo actual intacto y vetar generacion futura; si hay estructuras, guardar footprint/NBT, retirar y restaurar desde snapshot; si hay biomas propios visibles, objetivo = reconstruir zonas afectadas como habrian sido sin el mod mediante regeneracion/retarget local con recibo. Mientras falte primitivo, decision ask/plan pendiente, no reinicio automatico.
2026-07-02 04:28 | T2 corte 5 DisablePlan | Implementado primer DisablePlan/preview ejecutable: nuevo Bridge/LedgerSink modThinPlan(ns) + IPC tx.disablePlan. El plan devuelve decision auto/ask/blocked/requires_restart, actions, coveredSurfaces, residualSurfaces, requiresRestartReasons, askReasons, blockedReasons, restorePath, rollbackAvailable y counts basicos (blocks/chunks/runtimeActiveRefs). Reusa hard-deps + wcg.refs via modThinDeps y runtime.refs/presence snapshot.
2026-07-02 04:28 | T2 corte 5 UI gating | ModsScreen ya no decide con deps sueltas: pide BridgeProxy.plan(ns). auto ejecuta directo, ask abre ConfirmDisableScreen, blocked/requires_restart muestra banner y NO muta. supportedDisable se amplia a Tier 1-2 para permitir preview/decision real; Tier 3 queda fuera de ejecucion directa y el plan justifica requires_restart por falta de demixineo hot. modThinDisable/modThinEnable aplican runtime.disable/runtime.restore tras receipt Tier1 OK y devuelven contadores runtimeRemoved/runtimeRestored/runtimeErrors. Verificacion estatica: javac Java 8 backend afectado OK; javac Java 21 mod-thin OK. WSL/bash no disponible, se uso compilacion nativa Windows.
2026-07-02 06:49 | T2 corte 5 harness | Segunda mitad cerrada: agregado smoke `--tier2-5` que valida el flujo generico completo DisablePlan -> tx.disable -> tx.enable por el mismo camino modThin/UI. Agent IPC suma `tx.disable` y `tx.enable` delegando a `Ledger.modThinDisable/Enable`; el harness elige dinamicamente un owner Tier 2 con refs runtime activas y valida plan `decision=ask`, `requiresRestart=false`, razon `tier2_runtime_residual` y superficie `runtime_refs`.
2026-07-02 06:49 | T2 corte 5 VERIFICADO | `cargo check --bin verify-fase1` OK. `cargo run --bin verify-fase1 -- --tier2-5` OK con permisos escalados por assets/AppData/Prism: owner elegido `artifacts`, `tx.disable` status OK con `runtimeRemoved=143`, `runtimeErrors=0`, `runtime.refs activeRefs=0`; `tx.enable` status OK con `runtimeRestored=143`, `runtimeErrors=0`, `runtimeDisabledRefs=0` al final. Cierre limpio por WM_CLOSE, sin proceso Java vivo al terminar.
2026-07-02 06:49 | T2 corte 5 FIX harness | Primer intento descubrio carrera `game-ready != servidor integrado`: `tx.disable` podia dispararse antes de que existiera MinecraftServer vivo y el sweep devolvia NOT_READY. Fix: `--tier2-5` espera `tx.probeSetBlock` OK antes de mutar. Tambien queda confirmado el protocolo operativo: si Codex/API falla por `assets/indexes/29.json`, rerun con `require_escalated` porque es acceso al cache Prism/AppData fuera del sandbox.
2026-07-02 07:20 | T2 corte 5 FIX inventario | Bug critico reportado por usuario al desactivar `artifacts`: el sweep si quitaba items del mod, pero tambien borraba vanilla/no-victima y el restore solo devolvia lo capturado del mod. Causa raiz probable: resolver reflexivo de `Container.getItem` aceptaba el primer metodo `(int)->ItemStack`; `removeItemNoUpdate/removeStack(int)` comparte firma y borra el slot al "leer". Fix en `InProcess`: `Container.getItem` ahora solo acepta nombres seguros (`getItem`, `getStack`, `getStackInSlot`, `method_5438`) o un unico candidato no sospechoso; nombres destructivos (`remove*`, `extract*`, `method_5441`, `method_5434`) quedan vetados. Si no puede distinguir, falla cerrado y no barre inventario. `ItemStack.getItem` tambien se resuelve solo por tipo de retorno Item.
2026-07-02 07:20 | T2 corte 5 VERIFICACION inventario | `javac --release 8` backend OK; `agent/dist/fable-agent.jar` regenerado con `InProcess.class`; `cargo check --bin verify-fase1` OK con warnings existentes de `id` sin leer. No se lanzo smoke real de Minecraft en esta pasada para no volver a tocar inventario del usuario antes de que revise el fix; siguiente prueba recomendada: mundo desechable con 1 item `artifacts` + 1 item vanilla y assert post-disable de vanilla intacto.
2026-07-02 07:35 | T2 corte 5 INVENTARIO CONFIRMADO | Verificacion real del usuario tras el fix: desactivar `artifacts` ya funciona correctamente; el sweep borra solo los items de `artifacts` y conserva los items vanilla/no-victima. El bug critico de borrado colateral queda cerrado en entorno real.
2026-07-02 07:50 | Harness cierre | Endurecido `verify-fase1.rs` para reducir la necesidad de `taskkill /F`: `quiesce` espera hasta 300s y reporta churn cada 10s; `kill_pid` reintenta `WM_CLOSE` una segunda vez si el proceso sigue vivo y solo escalará a `/F` tras 180s. `cargo check --bin verify-fase1` OK. Objetivo: dejar `/F` como ruta excepcional, no normal.
2026-07-02 10:14 | Harness inventario regresion | Agregada regresion automatica `--inventory-regression` en `verify-fase1`: se toma un item real de `artifacts` via `wcg.definitions`, se siembra una fixture con `minecraft:stone` + stack victima, y el agente expone `tx.inventoryRegression` para correr itemSweep y verificar que vanilla quede intacto mientras solo cae la huella victima. Integracion compilada: `cargo check --bin verify-fase1` OK y `agent/build.sh` OK.
2026-07-02 08:00 | Documentacion viva | Creado `docs/resumen-proyecto.md`: resumen historico/de lectura rapida con origen, tres etapas, cortes registrados, glosario vivo, estado actual y futuro. Sirve como puerta de entrada narrativa al proyecto sin reemplazar `proyecto.md` ni `modelo-de-datos.md`.
2026-07-02 08:33 | Documentacion viva | Ajustado `docs/resumen-proyecto.md` para fijar la lectura correcta de las 3 grandes etapas: 1) posible con 2 JVMs, 2) hot sin reiniciar, 3) vision futura. Se explicito que la etapa 3 depende de las 1 y 2 y que Fabric fue el frente inicial, no el limite del proyecto.
2026-07-02 08:55 | Documentacion viva | Enriquecido `docs/resumen-proyecto.md` con el origen UX/Live Server, la evolucion hacia el modelo mental del proyecto y el horizonte futuro de costo residual, lectura de modpacks y escenarios por mundo/servidor.
2026-07-02 09:55 | F4 explorer semantico | Primer corte conectado: `ModSemantics` anota perfiles por mod tras `wcg-ready`; `Ledger.modThinListMods` emite `semantic`; `BridgeProxy` lo parsea y `ModsScreen` muestra foco/resumen/conteos/capacidades/señales. Contrato documentado: lectura derivada del WCG + metadata local, no fuente de verdad ni criterio de `DisablePlan`.
2026-07-02 10:10 | F4 explorer semantico | Plan completo implementado a nivel producto: perfil por mod ahora expone `role`, `surfaces`, `riskLabels` y `evidenceNotes`; `ModsScreen` carga `modThinDeps(ns)` bajo demanda para mostrar hard-deps y cascada `wcg.refs` (recetas/tags/loot/owners) del mod seleccionado. Mantiene la frontera: explorer explica, `DisablePlan` decide. Verificacion estatica OK: javac Java 8 backend + javac Java 21 mod-thin.
2026-07-02 10:20 | F4 explorer semantico | Cierre de UI del sidebar: impacto renderizado como bloque compacto con deps duras, recetas/tags/loot y owners afectados; evidencia semantica mostrada en filas acotadas. Recompilado OK: backend Java 8 y mod-thin Java 21.
2026-07-02 10:46 | F4 explorer semantico | `mod-thin/dist/mksa-thin.jar` reconstruido y copiado a `Instancia 3/minecraft/mods/mksa-thin.jar` para prueba manual del sidebar semantico. Jar verificado con `ModsScreen.class`, `BridgeProxy.class`, `fabric.mod.json` y sprite dogito.
2026-07-02 11:09 | UI mod-thin | Ajuste por prueba real del usuario: `ModsScreen` reemplaza el sidebar estrecho por un panel derecho grande "Informacion del mod" con lenguaje practico para jugador, impacto legible, evidencia simple, acciones debajo, `Volver` centrado, sin botones subir/bajar; reload queda junto al toggle de tiers. `mksa-thin.jar` reconstruido y desplegado en Instancia 3. Compilacion Java 21 OK.
2026-07-02 11:41 | UI mod-thin | Panel derecho convertido a tarjetas de impacto: `Que agrega`, `Puede afectar`, `Cuidado con`, `Antes de desactivar` y evidencia simple. Se quito la descripcion del mod del panel (sigue visible en la lista), la lista ahora muestra minimo 4 filas, y `mksa-thin.jar` quedo desplegado en Instancia 3. Compilacion Java 21 OK.
2026-07-02 12:09 | UI mod-thin | Ajuste fino de layout: barra de busqueda recortada por la derecha para ubicar reload y toggle de tiers en el hueco; panel `Informacion del mod` alineado con la barra de busqueda; botones Desactivar/Restaurar alineados con la ultima fila visible de la lista. `mksa-thin.jar` reconstruido/desplegado en Instancia 3. Compilacion Java 21 OK.
2026-07-02 12:37 | UI mod-thin | Ajuste visual: la version del mod ya no se muestra en la fila del listado; aparece bajo el nombre dentro de `Informacion del mod`. El panel derecho y los botones Desactivar/Restaurar bajaron 8px para respirar mejor. `mksa-thin.jar` reconstruido/desplegado en Instancia 3. Compilacion Java 21 OK.
2026-07-02 12:58 | UI mod-thin | `Informacion del mod` ahora muestra el icono del mod a la izquierda del encabezado, ocupando la altura de nombre+version. Reusa `ModIconCache` y placeholder por inicial si falta icono. `mksa-thin.jar` reconstruido/desplegado en Instancia 3. Compilacion Java 21 OK.
2026-07-02 13:05 | UI mod-thin rollback | Revertido el intento de ajustar filas del listado para descripcion en 2/3 lineas y margen contra chips. `ModsScreen` volvio al render previo del listado; no se recompilo ni redeployo jar en este rollback.
2026-07-02 13:55 | UI mod-thin rollback | Recompilado `mod-thin/dist/mksa-thin.jar` despues del rollback de `ModsScreen` y copiado otra vez a `Instancia 3/minecraft/mods/mksa-thin.jar` para que `--launch` use el estado revertido. Verificacion: jar y copia quedaron con 370290 bytes, timestamp 2026-07-02 13:55:17.
2026-07-02 14:01 | UI mod-thin rollback | Restaurado el panel `Informacion del mod` en `ModsScreen` sin reintroducir el ajuste de filas del listado. `mod-thin/dist/mksa-thin.jar` recompilado y copiado a `Instancia 3/minecraft/mods/mksa-thin.jar` (375915 bytes, 2026-07-02 14:01:18).
2026-07-02 14:55 | UI mod-thin | Aplicado el layout pedido en `ModsScreen`: dos zonas simetricas, lista fija de 4 filas, barra de busqueda recortada para reload/tier, eliminados subir/bajar, `Volver` centrado, `Desactivar`/`Restaurar` alineados con la ultima fila y panel derecho `Informacion del mod` con icono + nombre + version. `mod-thin` recompilado con Java 21 y jar copiado a Instancia 3.
2026-07-02 14:42 | UI mod-thin | Corregido el solapamiento entre `Informacion del mod` y `Desactivar/Restaurar`: la caja del panel termina antes de los botones y la lista se ensancho unos pocos pixeles a la derecha. `mod-thin` recompilado y jar copiado otra vez a Instancia 3.
2026-07-02 14:53 | UI mod-thin | Corregida la colocacion de `Desactivar` y `Restaurar` vista en `uie.png`: los botones ahora van compactos en una sola fila debajo del panel `Informacion del mod`, sin fondo extra detras. `mod-thin` recompilado y jar copiado a Instancia 3.
2026-07-02 23:25 | Recursos | Creados y ampliados a 15 iconos pixel art 16x16 para Minecraft (incluyendo logros, herramientas, estructuras) en minecraft_icons/ con script de Python y refina-IA (Nano Banana). Personalizado cofre de loot_tables por feedback.
2026-07-03 01:52 | T3 mixin audit | Primer corte Tier 3 cerrado sin mutacion hot: `t3.mixinPlan(ns)`/`modThinT3MixinPlan(ns)` auditan configs mixin, clases mixin, targets y coremods desde raices del mod; `DisablePlan` embebe `t3MixinPlan` y marca `decision=requires_restart` con `tier3_no_hot_pipeline`, `hotEligible=false` y `baseBytesCaptured=false`.
2026-07-03 01:52 | T3 mixin audit VERIFICADO | `cargo check --bin verify-fase1` OK; `javac --release 8` bridge/ledger/agente OK; `javac --release 21` mod-thin OK. Smoke real `cargo run --bin verify-fase1 -- --tier3-audit` OK con permisos escalados por assets/AppData: candidato `balm`, 47 mixins, 41 targets, 36 targets cargados, `t3.mixinPlan` BAD_PARAMS sin ns, `tx.disablePlan` conserva conteos, veto/runtimeDisabledRefs sin cambios. Quiesce agoto 300s por churn, pero cierre WM_CLOSE fue limpio.
2026-07-03 03:28 | T3 mixin audit corte B | Captura de bytecode base conectada: `Tier3MixinAudit` lee targets mixin desde recursos de classpath predefine, guarda bytes en memoria y reporta muestras con `size`, `sha256`, `source`, `loaded` y `baseBytecodeTrust=classpath_resource_predefine`. Se agrego fallback al classloader de targets ya cargados para cubrir targets aun no cargados.
2026-07-03 03:28 | T3 mixin audit corte B VERIFICADO | `verify-fase1 --tier3-audit` OK con permisos escalados y salida redirigida: `balm` 47 mixins, 41 targets, `baseBytesCaptured=true`, `baseBytesCapturedCount=41`, `baseBytesMissingCount=0`; `tx.disablePlan` conserva `decision=requires_restart`, razon `tier3_no_hot_pipeline`, `t3MixinPlan.baseBytesCaptured=true`; no muta veto ni runtime refs. Se endurecio Boot Fabric para no dejar `Boot.mods` vacio si una entrada falla durante enumeracion.
2026-07-03 04:10 | T3 mixin audit corte C | Modelo de atribucion/diff conectado sin mutacion hot: `Tier3MixinAudit` conserva configs por mixin, parsea miembros/anotaciones del classfile y emite `mixinAttributions` + `mixinDiffs` (`declaration_structural_v1` / `mixin_declaration_vs_base_v1`). Cada diff vincula `mixin -> target`, configs, base capturada (`baseSize`/`baseSha256`), conteos de operacion y cambios exactos por miembro (`kind`, `name`, `desc`, `operation`, `baseMemberPresent`).
2026-07-03 04:10 | T3 mixin audit corte C VERIFICADO | `javac --release 8` backend OK; rebuild nativo PowerShell de `agent/dist/fable-agent.jar` OK (bridge/ledger/sqlite anidados, ASM solo en ledger); `cargo check --bin verify-fase1` OK. Runtime `--tier3-audit` con permisos escalados produjo `VERIFICACION OK`: `balm` 47 mixins, 41 targets, `baseBytesCaptured=true`, `mixinAttributionsTotal>=47`, `mixinDiffsTotal=47`, cambios estructurales con operacion/miembro exacto; `DisablePlan` sigue `requires_restart` y no muta veto/runtime refs. El wrapper elevado devolvio codigo 1 pese al OK del log; conservar `tier3-c-smoke.txt` como evidencia.
2026-07-03 04:35 | T3 mixin audit corte D | Plan de demix conectado como diagnostico: `Tier3MixinAudit` escanea `rootsByNs` para construir un indice global de mixins que tocan los targets de la victima y emite `demixPlan` (`target_replay_plan_v1`). Por target reporta mixins victima a retirar, mixins de otros namespaces a preservar/replay, co-owners, pasos `capture_base -> reset_target_to_base -> replay_mixin`, requisitos (`requiresBaseBytes`, `requiresRuntimeMixinOrder`, `requiresRedefineClasses`, `requiresTransformerQuiescence`) y riesgos conservadores.
2026-07-03 04:35 | T3 mixin audit corte D VERIFICADO | `javac --release 8` backend OK; rebuild nativo PowerShell de `agent/dist/fable-agent.jar` OK; `cargo check --bin verify-fase1` OK. Runtime `--tier3-audit` con permisos escalados produjo `VERIFICACION OK`: `balm` 47 mixins, 41 targets, `demixPlanTargetsTotal=41`, `demixPlanSharedTargetsTotal=26`, `coMixinTargetsTotal=86`, muestras con co-owners reales de Fabric API y riesgos `shared_target`/`runtime_order_unverified`; `safeToExecute=false`, `executable=false`; `DisablePlan` sigue `requires_restart` y no muta veto/runtime refs. Log: `tier3-d-smoke.txt`.
2026-07-03 05:14 | T3 corte E redefine controlado | Primer uso real de `Instrumentation.redefineClasses` conectado como diagnostico seguro: `t3.redefineSmoke` redefine solo `dev.mksa.agent.Tier3RedefSmokeTarget`, clase privada pequena del agente. Captura bytes originales desde recurso, parchea un literal de igual longitud (`original` -> `patched!`), verifica comportamiento y vuelve a redefinir con los bytes originales. No toca clases Minecraft, targets Mixin ni pipeline de demix.
2026-07-03 05:14 | T3 corte E VERIFICADO | Rebuild nativo de `agent/dist/fable-agent.jar` OK con `Tier3RedefSmoke.class` y `Tier3RedefSmokeTarget.class` incluidos, bridge/ledger/sqlite anidados y sin ASM/bridge/ledger sueltos; `cargo check --bin verify-fase1` OK. Runtime `--tier3-audit` con permisos escalados produjo `VERIFICACION OK`: `redefineSupported=true`, `modifiableClass=true`, `preValue=original`, `patchedValue=patched!`, `rollbackValue=original`, `rollbackOk=true`, `finalRestored=true`, hashes distintos y `touchesMinecraftClasses=false`/`touchesMixinTargets=false`. `DisablePlan` sigue `requires_restart` con `tier3_no_hot_pipeline`. Log: `tier3-e-smoke.txt`; wrapper elevado devolvio codigo 1 pese al OK por la ruta conocida de cierre.
2026-07-03 05:34 | T3 corte F DisablePlan/tx gate | Integracion transaccional conectada sin ejecutar demix real: `Tier3MixinAudit` emite `txGate` (`tier3_tx_gate_v1`) con predicados de viabilidad (`redefineSupported`, `baseBytesCaptured`, `demixSafeToExecute`, `demixExecutable`, `runtimeMixinOrderTrusted`, `transformerQuiescenceVerified`, `txImplementationReady`, receipt/rollback). `Ledger.modThinPlan` embebe `t3TxGate`, cambia policy a `t3-corte-f-tx-gate`, solo bajaria a `ask` si `canLowerDecision=true`, y conserva `requires_restart` cuando el demix no es ejecutable.
